code,description
10000,The landing page name cannot be empty.
10001,Landing page URL should be 1 - 1024 character long.
10002,Invalid landing page.
11000,Invalid Creative Template Data.
11001,Invalid Creative Template ID.
11002,Creative Template not found.
11003,File extension is invalid.
11004,Required placeholder is missing.
11005,Numeric placeholder has non numeric value.
11006,List placeholder has invalid value.
11007,Invalid placeholders.
12000,Permission not found in network.
12001,User role not found.
12002,Default user roles can't be created or modified.
12003,A user role can't be created without a source user role.
12004,The user role's account is invalid.
12005,The user profile's account is different from the user role's account.
12006,User role names must contain between 1 and 255 characters.
12007,A user role with this name already exists.
12008,Default user roles can't be deleted.
12009,The user role can't be deleted because it's assigned to user profiles.
12010,The source user role can't be changed.
13000,The Creative Field Value is not found.
13001,Creative Field name must be 1-32 characters long.
13002,Creative Field can have a maximum of 768 creative field values.
13003,The Creative Field Value name must be 1-32 characters long.
13004,Invalid Creative Field.
13005,The Creative Field name already exists.
13006,The creative field Advertiser Specified doesn't exist.
13007,Invalid Creative Field Value.
13008,Creative Field was not specified for the Creative Field Value.
13009,Creative Field was not found for the Creative Field Value.
13010,Creative Field Value name already exists.
13011,An advertiser can a have maximum of 12 creative fields.
13012,Creative Field doesn't exist.
14000,Network name cannot be empty.
14001,Network name cannot exceed 128 characters.
14002,Network with this name already exists.
14003,Network abbreviation cannot be empty.
14004,Account with this abbreviation already exists.
14005,Invalid maximum image size.
14006,Invalid default size.
14007,Invalid number of activities for exposure-to-conversion.
14008,Invalid number of exposure level for exposure-to-conversion.
14009,Exposure level cannot be less than existing value.
14010,Invalid currency.
14011,Invalid language.
14012,Invalid language encoding.
14013,Invalid report generation time zone.
14014,Permission not found.
14015,This user profile has no access to this account.
14016,Network abbreviation cannot exceed 8 characters.
14017,Invalid network permission.
14018,There was a problem with the billing code. Please check the code and try again.
14019,There was a problem with the customer ID. Please check the ID and try again.
14020,This customer account is not active.
14021,This customer billing account has expired.
14022,We couldn't find a customer that matched the billing code and customer ID you entered. Please check the values and try again.
14023,Invalid Account Widget Image Upload request.
14024,"There was a problem with the image you tried to upload. Please upload an image file with the extension .jpg, .gif, or .jpeg"
14025,The image file size exceeds the maximum. Please try a smaller file.
14026,Invalid image data.
14027,Oops! We were unable to save the image file. Please try again.
14028,Please enter the customer ID and billing code to enable the Rich Media permission.
14029,"To enable Flash-in-Flash creatives, please upload a Widget backup image."
14030,"You don't have permission to make associations between a customer account and a publisher. For more information, contact your database administrator."
15000,place holder
51002,Invalid email address.
51003,Advertiser name cannot be null or empty.
51004,Advertiser cannot be deleted because it has orders associated with it.
51005,Advertiser cannot be deleted because it has Spotlight configurations shared with another advertiser.
51006,Invalid network has been specified for the advertiser.
51046,Advanced report is not enabled at network
51047,Cannot change advertiser group.
51048,Country name may not exceed 32 characters.
51049,Telephone may not exceed 32 characters.
51050,Fax may not exceed 32 characters.
51051,Contact person name may not exceed 32 characters.
51052,Website URL may not exceed 96 characters.
51053,Billing address1 may not exceed 64 characters.
51054,Billing address2 may not exceed 64 characters.
51055,Billing city name may not exceed 64 characters.
51056,Billing state name may not exceed 32 characters.
51057,Billing postal code may not exceed 10 characters.
51058,Billing country name may not exceed 32 characters.
51059,Terms description may not exceed 100 characters.
51060,Production and trafficking description may not exceed 255 characters.
51061,Email may not exceed 64 characters.
51062,Address1 may not exceed 64 characters.
51063,Address2 may not exceed 64 characters.
51064,City name may not exceed 32 characters.
51065,State name may not exceed 100 characters.
51066,Postal code may not exceed 12 characters.
51067,Invalid telephone.
51068,The advertiser could not be found.
51070,Advanced Reports cannot be unassigned because they are enabled at the network level.
51071,This advertiser cannot be accessed. The advertiser ID has not been assigned in the advertiser filter.
51072,No permission to view advertisers
51073,Advertiser doesn't belong to the user subnetwork
53000,Object is already included in the User Watch List
53001,Ad does not Exist
54000,Advertiser not found.
54001,The creative asset base directory is not specified.
54002,"DFP can't connect to the server that's storing the creative assets. Close the creative trafficking window and try again. If this problem persists, please contact support."
54003,The image creative asset base directory cannot be found.
54004,The Rich Media creative asset base directory cannot be found.
54005,The creative asset directory for the advertiser cannot be found.
54006,Error encountered while browsing the creative asset directory.
54007,The creative asset file could not be read.
54008,The creative asset supplied cannot be null.
54009,The name specified for the creative asset is not valid.
54010,The content specified for the creative asset is not valid.
54011,The creative asset is not of a valid image type.
54012,Another creative asset with the same name already exists.
54013,The advertiser specified in the creative asset is not valid.
54014,You cannot upload this asset because the dimensions of the asset do not match the dimensions allowed in your network. Please select another asset.
54015,The creative asset's dimensions are not supported by the network.
54016,DART does not support this image type.
54017,You cannot upload executable files.
54018,The creative asset exceeds the maximum image size allowed for the network.
54019,You forgot to enter search criteria.
54020,You must enter an advertiser to search for a creative.
54021,The relative image asset URL is not valid. It is required and must refer a valid image asset for the advertiser.
54022,The image asset referred to by the relative URL could not be found.
54023,Alternate Text cannot exceed 1024 characters.
54024,The creative version is not valid.
54025,The custom code for the creative is missing.
54026,The length of the custom code exceeds the maximum allowed limit.
54027,"The creative code must contain the %i macro, which enables the DART ad servers to record when the interstitial impression displays."
54028,The relative asset URL in the creative cannot be null or empty.
54029,One of the assets specified in the creative could not be found.
54030,The redirect URL is not valid. It is required and cannot exceed 1024 characters.
54031,The redirect URL is not valid. It must start with http:// or https://
54032,You cannot delete this creative because it is assigned to a default ad. Default ads must have at least one creative.
54033,The creative cannot be deleted because one or more assignments have a creative time gap.
54034,The creative cannot be deleted because it is assigned to an ad that is active.
54035,One of the campaigns associated with the creative is not valid.
54036,The given creative IDs array to associate with the campaign cannot be null or empty.
54037,The creative type is not valid.
54038,An error was encountered while parsing the file.
54039,The raw file data is empty.
54040,The raw file name is not valid.
54041,The raw file mime-type is not valid.
54042,The mime-type for the raw file is not supported for creative upload.
54043,The zip file entry cannot be recognized as an image or a Rich Media file.
54044,The raw file set is null.
54045,The advertiser specified in the raw file set is not valid.
54046,The campaign specified in the raw file set is not valid.
54047,Either the advertiser or the campaign must be specified in the raw file set
54048,The raw file set does not contain any raw files.
54049,The parsed raw file set is null.
54050,The parsed raw file set does not contain any parsed raw files.
54051,Unable to read the Flash file.
54052,The Flash file is empty. Check your file or select another one and try again.
54053,The Flash-Banner custom code template could not be found.
54054,The creative can contain only one back-up image.
54055,The creative can contain only one Flash asset.
54056,The creative is missing the back-up image.
54057,The creative is missing the Flash asset.
54058,The creative does not contain any assets. It must contain one Flash asset and one back-up image asset.
54059,The Flash-Banner with AdInisght Flex Tag custom code template could not be found.
54060,This is a default creative hence
54062,Please specify a default landing page for the campaign before uploading creatives.
54063,"This file type isn't supported, or the file doesn't matched the specified file type. Only image files are supported."
54064,The dimensions of the creative can't be changed because it is marked as default in one of the campaigns.
54065,You cannot change the dimensions of the creative because it is assigned to one or more ads.
54066,The dimensions of the creative can't be changed because it is assigned to one or more rotation groups.
54067,The creative you are trying to delete is not a Motif creative.
54068,The Interstitial Pop-Up template can't be found.
54069,The Interstitial Pop-Up type is not valid.
54070,The window width is not valid. Please specify a width greater than zero.
54071,The window height is not valid. Please specify a height greater than zero.
54072,The 'top' value is not valid. Please specify a value greater than or equal to zero.
54073,The 'left' value is not valid. Please specify a value greater than or equal to zero.
54074,The creative type is not valid.
54075,You do not have permission to view creatives.
54076,You do not have permission to archive creatives.
54077,You do not have permission to delete creatives.
54078,You do not have permission to change a creative's status.
54079,You do not have permission to create creatives.
54080,The maturity level you specified for the creative is not valid.
54081,You must specify a maturity level for the creative.
54082,The art type you selected for the creative is not valid.
54083,You must specify an art type for the creative.
54084,Invalid Flash file. Check the file and try uploading it again.
54085,Invalid file extension. Check the file and try uploading it again.
54086,You do not have permission to create or update creative assignments.
54087,The assignment's start date cannot be before the ad's start date.
54088,The assignment's start date cannot be after the ad's end date.
54089,The assignment dates are not valid.
54090,The assignment's end date cannot be before the ad's start date.
54091,The assignment's end date cannot be after the ad's end date.
54092,Unassigning this creative will leave one of the ads with no active creative.
54093,The creative type is not valid for the ad type.
54094,The Flash file contains hardcoded URLs.
54095,We encountered an error while parsing the Flash file. Check the file and try uploading it again.
54096,The dimensions of the creative do not match the dimensions of the ad.
54097,Interstitial DoubleClick Tag and Interstitial Custom/Interstitial Motif creatives cannot be assigned to Interstitial Ads.
54098,Creative code cannot contain the word %1$2s
54099,Ad should contain at least one active creative assignment.
54100,Creative template name cannot be null and can contain max 64 characters.
54101,Creative template description can contain max 255 characters
54102,Creative template name must be unique
54103,Creative template type not valid. Must be either DFA or DFP or Standard or Custom or local
54104,Placeholder name cannot be empty
54105,Not allowed to create standard and custom templates
54106,You do not have permission to create templates
54107,You do not have permission to edit templates
54108,Assignments cannot be submitted because one or more assignments have a creative time gap.
56000,User does not have access to network.
56001,Object doesn't belong to user subnetwork
56002,User doesn't exist in DART.
56003,User not enabled for SNS.
56004,You don't have permission to view this ad
57000,The advertiser could not be found
60000,Ad Tool Kit version should be 1.01 or greater.
60001,Error merging conduit.
60002,Error merging conduit for Interactivity time
60003,Error while reading or writing Rich Media asset on Pusher.
60004,"Invalid input template, required asset was not found"
60005,"Placeholder not found in input.xml, placeholder ="
60006,Error getting System Advertiser ID
60007,Error in Merging DOM
60008,Invalid Rich Media package. Valid files use the extension .mtf.
60009,Input template is missing.
60010,Missing asset.
60011,Invalid Template.
60012,Invalid Rich Media file
60013,Ad tool kit version for Rich Media Flash in Flash creative should be 2.0 or greater.
60014,Maximum file upload limit exceeds.
60015,Maximum Parent Asset file or Alternate Image file upload limit exceeds.
60016,"You can only upload Floating, Pop-up and Floating with Reminder files to Rich Media Interstitial creatives."
60017,"Only upload Floating, Pop-up and Floating with Reminder files can be uploaded to Rich Media Interstitial creatives."
60018,"Only upload Floating, Pop-up and Floating with Reminder Rich Media creatives to Interstitial ads."
60019,"Only upload Floating, Pop-up and Floating with Reminder Rich Media creatives to Interstitial ads."
60020,"You cannot upload a Floating, Pop-up or Floating With Reminder file in Rich Media creatives."
60021,"Cannot upload a Floating, Pop-up or Floating With Reminder Rich Media creative in regular ads. They should be booked as interstitial."
60022,"You can only upload a Floating, Pop-up or Floating With Reminder file in Rich Media creatives."
60023,"Cannot upload a Floating, Pop-up or Floating With Reminder Rich Media creative in regular ads. They should be booked as interstitial."
60024,"This MTF is not supported for Rich Media for Flash-in-Flash. Only In-Page, Expanding, or Floating creative types may be uploaded into Rich Media for Flash-in-Flash creatives."
60025,The type of creative uploaded is not compatible with this ad.
60026,The parent asset cannot be greater than 300 KB
60027,The alternate image cannot be greater than 300 KB
60028,All or some of the parameters sent in the request are invalid.
60029,"You cannot load assets of types other than GIF, JPEG or JPG."
60030,Either the file name does not exist or it is not a valid type than can be uploaded.
60031,The image file is not valid or an error occurred while uploading the file. Try again.
60032,Progressive URL protocol must start with http:// or https://.
60033,Replaced child extension needs to be same as the original.
60034,"A file with the same name has already been uploaded, please select a different file."
60035,New filename must not be a duplicate of an existing child file.
60036,The asset may not be deleted because it is referenced in a component.
60037,Creative Package cannot be null.
60038,Advertiser ID is missing in the Rich Media Creative Package.
60039,MTF package with zero size cannot be uploaded.
60040,MTF package having files of zero size cannot be uploaded.
60041,MTF file is empty and cannot be uploaded.
60042,Either the video file you are trying to upload does not exist or its size is set to zero.
60043,Either the alternate image file you are trying to upload does not exist or its size is set to zero.
60044,This MTF file cannot be uploaded as the Flash-in-Flash creative type does not support Full Screen Video.
60045,Advertiser ID is missing in the Studio creative package.
60046,No studio creative package passed in upload request.
60047,Invalid studio creative details passed in package upload request.
60048,Invalid studio creative package.
60049,Filename for asset in the creative is invalid.
60050,Error in populating child files. Motif Creative Properties is out of synch.
60051,Error in populating video components. Motif Creative Properties is out of synch.
60052,Error populating Motif Expanding components. Motif Creative Properties is out of synch.
60053,Error populating events information. Motif Creative properties is out of synch.
60054,Flash version for Studio Flash in Flash creative should be 7 or greater.
60055,This Studio package can not be uploaded as the Flash-in-Flash creative type does not support full screen video feature.
60056,Please upload an FLV file. Other file types are not supported.
60057,"The file name of the asset needs a file extension. For example, in the name file.gif, .gif is the extension."
60058,The creative doesn't contain the assets that you're trying to delete. Please check the asset file names and try again.
60059,The parent Flash asset does not exist.
60060,"This operation is only allowed for MTF-based creatives, and not for the ones created in Studio."
60503,Invalid input template file.
60504,Rich Media properties are missing in template.
60505,Placement size is invalid.
60506,Exceeds maximum length for comments.
60507,Rich Media file cannot have more than two Flash assets.
60508,WMode value for Flash asset is invalid.
60509,An .mtf file cannot have more than 30 events.
60510,Background color for Flash asset is invalid.
60511,Value of position for Flash asset is missing.
60512,Value of position for Flash asset is invalid.
60513,Z-index value for Flash asset is missing.
60514,Top value for Flash asset is missing.
60515,Left value for Flash asset is missing.
60516,Z-index value for Flash asset is invalid.
60517,"Top value must be from -1500 to 1500, inclusive."
60518,"Left value must be from -1500 to 1500, inclusive."
60519,Alternate image for Flash asset is missing.
60520,Exceeds max length for alternate text.
60521,Value of width for asset is invalid.
60522,Value of height for asset is invalid.
60523,Value of width for asset is missing.
60524,Value of height for asset is missing.
60525,Value of height for placement is invalid.
60526,Value of width for placement is invalid.
60527,Pop-under attribute for Flash asset is missing.
60528,Required element is missing from input template.
60529,Required asset is missing from input template.
60530,Invalid display start time.
60531,Invalid display duration.
60532,Event names cannot have spaces.
60533,Invalid value for total file size.
60534,Invalid value for plugin version.
60535,Exit event name missing
60536,Exit event ID missing
60537,Invalid exit event ID
60538,Exit event name length should not exceed 64 characters.
60539,Missing value for total file size.
60540,Missing value for plugin version.
60541,Image asset can have only one exit type event.
60542,Event names cannot be greater than 64 characters.
60543,Name is required.
60544,Event ID cannot be null.
60545,Click-through Landing Page URL is required.
60546,Invalid event ID
60547,Event URL cannot be greater than 1024 characters.
60548,Event description cannot be greater than 124 characters.
60549,Fixed-Flash must have an alternate image with one exit event.
60550,Target is required for Exit Links and Load Movies.
60551,The length of the Survey URL cannot exceed 254 characters.
60552,Survey URL must start with http:// or https://.
60553,The Expanded Width for Expanding Flash Asset is missing.
60554,The Expanded Width for Expanding Flash Asset is invalid.
60555,The Expanded Height for Expanding Flash Asset is missing.
60556,The Expanded Height for Expanding Flash Asset is invalid.
60557,Expanding-Flash must have an alternate image with one exit event.
60558,Left Offset for Expanding flash asset is missing.
60559,Invalid value of Left Offset for Expanding flash asset.
60560,Right Offset for Expanding flash asset is missing.
60561,Invalid value of Right Offset for Expanding flash asset.
60562,Top Offset for Expanding flash asset is missing.
60563,Invalid value of Top Offset for Expanding flash asset.
60564,Bottom Offset for Expanding flash asset is missing.
60565,Bottom offset value of Expanding Flash asset is invalid.
60566,The Window Feature Top for an Exit Event is invalid.
60567,The Window Feature Left for an Exit Event is invalid.
60568,The Window Feature Width for an Exit Event is invalid.
60569,The Window Feature Height for an Exit Event is invalid.
60570,Invalid syntax for keywords.
60571,The reserved keys cannot be used.
60572,The length of a Third-Party Click URL cannot exceed 1024 characters.
60573,The length of a Third-Party Impression URL cannot exceed 1024 characters.
60574,Third-Party Click URL must start with http:// or https://.
60575,Third-Party Imp URL must start with http:// or https://.
60576,Invalid syntax for metadata.
60577,The reserved keys cannot be used for metadata.
60578,Event information cannot contain non-English characters.
60579,You cannot use non-English characters in alternate text.
60580,Push-Down Animation time for Expanding Ad should be in the range of 0 to 9.99.
60581,The Push-Down feature is allowed only for Expanding Ads that expand downwards.
60582,The RichMedia creative can not have more than 100 events.
60583,Video Length cannot have alphanumeric or negative values.
60584,The length of a Third-Party Backup Image Impression URL cannot exceed 1024 characters.
60585,The length of a Third-Party Flash Display Impression URL cannot exceed 1024 characters.
60586,Third-Party Backup Image Impression URL must start with http:// or https://.
60587,Third-Party Flash Display Impression URL must start with http:// or https://.
60588,Primary and secondary connection types for video component must be different.
60589,At least one File Name is required for DART hosted video assets.
60590,At least one File Path or URL is required for Externally hosted video assets.
60591,Host Domain must start with 'rtmp://'.
60592,Selected DART Hosted video assets are missing. Please upload missing assets.
60593,Progressive URL must start with 'http://' or 'https://'.
60594,This MTF was published for Flash version 6 or below. Rich Media for Flash-in-Flash creative supports only MTF packages published for Flash version 7 and higher.
60595,Host domain is a required field if either of primary or secondary connection type is streaming.
60596,The MTF cannot be uploaded because this network does not have the Rich Media full screen video feature enabled.
60597,The Upload Request may not be null
60599,MediaServer macro name is not specified
60600,The Creative Features selection cannot be changed once the Creative is submitted.
60601,Creative version cannot be incremented if the previous version is not saved.
61000,Invalid Creative ID or Creative does not exist.
61001,Required value site URL is missing.
61002,Invalid site url.
61003,Cannot connect to the given site.
61004,Page is framed and cannot be previewed with the creative.
61005,The page you specified has no matching Rich Media or DART ad tags. You cannot preview the creative in this page.
61006,Rich Media unsaved creative preview request cannot be null.
61007,Rich Media creative properties object is a requried field for an un-saved Rich Media creative preview request. It cannot be empty.
61008,"Edited ad code missing in the request. If a creative is manually edited, the edited ad code should be passed in the request."
61009,Required parameter Width is missing from the un-saved Rich Media creative preview request.
61010,Required parameter Height is missing from the un-saved Rich Media creative preview request.
61011,Required Adveriser ID is missing in the Rich Media creative object sent in the preview request.
61012,The Rich Media Creative object is a required field for an unsaved Rich Media creative preview request. It cannot be null.
61013,A required parameter is missing for the creative ID in saved creative preview request.
61014,Rich Media saved creative preview request cannot be null.
61015,External preview is not available for Flash-in-Flash creatives.
61016,"External preview is only available for valid Rich Media creative types. Visit ""http://www.google.com/support/dfa/bin/answer.py?answer=146738"" for more information."
61500,Creative can't be assigned to Ad as the Creative and Ad belong to different Advertisers
61501,The creative cannot be assigned to the ad because the creative size does not match the Ad size.
61502,The creative is assigned to a default ad and cannot be deleted. Any default ad must have a creative.
61503,The creative cannot be deleted because it is assigned to an ad that is active.
61504,The creative version is not valid.
61505,The Creative being assigned to the ad is not a Rich Media Creative.
61506,Creative version cannot be incremented for a manually edited Rich Media creative.
61507,The .MTF file for a manually edited creative cannot be replaced.
61508,Child assets cannot be uploaded/replaced for a manually edited creative.
61509,Child assets cannot be removed for a manually edited creative.
61510,Please submit the creative in order to edit the HTML code.
61511,You do not have permission to enable manual edit for a Rich Media creative.
61512,Only Creative Name and Creative Dimensions can be changed for a manually edited Rich Media creative.
61513,Save any changes before enabling manual edit for a Rich Media creative.
61514,You do not have permission to unselect manual edit for a Rich Media creative.
61515,Version has been incremented. Please save this change first and then enable manual edit for the Rich Media Creative.
61516,HTML value cannot be null or empty for a Rich Media creative.
61517,HTML value exceeds the maximum size limit of 131064 bytes for a Rich Media creative.
61518,An Alternate Image cannot be replaced for a manually edited creative.
61519,You do not have permission to overridde CSS style sheet properties.
61520,Creative for one of the Creative Field Assignment is not valid.
61521,Creative Field for one of the Creative Fild Assignment is not valid.
61522,Creative Field of one of the Creative Field Assignment doesn't belong to same advertiser.
61523,Creative field value for one of the Creative Field Assignment is not valid.
61530,Override URLs must begin with http:// or https://.
61531,Invalid exit ID specified for override.
61532,Invalid placement creative specified for override.
61533,An error occurred in the code generator service.
61534,The event you edited could not be found. Please check the ID and try again.
61535,The asset you edited could not be found. Please check the ID and try again.
61536,We couldn't complete your request. Only FLV assets can be deleted.
61537,Invalid SD Site ID in StudioTraffickingRequest
61538,Invalid Creative SD Site assignment list in StudioTraffickingRequest
61539,Invalid Studio Creative ID in StudioTraffickingRequest
61540,The Dynamic Ad feature hasn't been enabled for the network. Please contact support or log a support case at http://help.doubleclick.com.
61602,Valid value for Z-Index should be in between -1000000000 and 1000000000.
61603,"The following CSS properties cannot be overridden - width, height, position and z-index."
61604,CSS Properties can be overridden for In-Page and Expanding Flash assets only.
61605,File name can only contain alphanumeric characters (not case-sensitive) and . = - or _.
61606,A file in the .mtf package has a name that contains invalid characters. File names can include only alphanumeric characters and these special characters: . = - _
61607,"The left unit value for the Flash asset was not recognized. Please enter % for percentage or px for pixels, pxc for pixels from centre."
61608,The exit event URL must begin with http:// or https://.
61609,"The target value for the exit event was not recognized. Please enter _parent, _self, _blank, or _top."
61610,The top unit value for the Flash asset was not recognized. Please enter % for percentage or px for pixels.
